,company,name,ticker,date,brand,sales,transactions
4412054,Lyft,Lyft,LYFT,2014-12-05,Motivate,0,0.0
4408349,Lyft,Lyft,LYFT,2014-12-06,Lyft Rides,49150,3671.0
4412055,Lyft,Lyft,LYFT,2014-12-06,Motivate,0,0.0
4410202,Lyft,Lyft,LYFT,2014-12-06,Lyft Scooters,0,0.0
4412056,Lyft,Lyft,LYFT,2014-12-07,Motivate,0,0.0
4410203,Lyft,Lyft,LYFT,2014-12-07,Lyft Scooters,0,0.0
4408350,Lyft,Lyft,LYFT,2014-12-07,Lyft Rides,40786,3004.0
4412057,Lyft,Lyft,LYFT,2014-12-08,Motivate,0,0.0
4410204,Lyft,Lyft,LYFT,2014-12-08,Lyft Scooters,0,0.0
4408351,Lyft,Lyft,LYFT,2014-12-08,Lyft Rides,23810,1808.0
4412058,Lyft,Lyft,LYFT,2014-12-09,Motivate,0,0.0
4410205,Lyft,Lyft,LYFT,2014-12-09,Lyft Scooters,0,0.0
4408352,Lyft,Lyft,LYFT,2014-12-09,Lyft Rides,20471,1534.0
4412059,Lyft,Lyft,LYFT,2014-12-10,Motivate,0,0.0
4408353,Lyft,Lyft,LYFT,2014-12-10,Lyft Rides,23796,1793.0
4410206,Lyft,Lyft,LYFT,2014-12-10,Lyft Scooters,0,0.0
4408354,Lyft,Lyft,LYFT,2014-12-11,Lyft Rides,27367,2062.0
4412060,Lyft,Lyft,LYFT,2014-12-11,Motivate,0,0.0
4410207,Lyft,Lyft,LYFT,2014-12-11,Lyft Scooters,0,0.0
4408355,Lyft,Lyft,LYFT,2014-12-12,Lyft Rides,38468,2708.0
4412061,Lyft,Lyft,LYFT,2014-12-12,Motivate,0,0.0
4410208,Lyft,Lyft,LYFT,2014-12-12,Lyft Scooters,0,0.0
4408356,Lyft,Lyft,LYFT,2014-12-13,Lyft Rides,50314,3542.0
4412062,Lyft,Lyft,LYFT,2014-12-13,Motivate,0,0.0
4410209,Lyft,Lyft,LYFT,2014-12-13,Lyft Scooters,0,0.0
4412063,Lyft,Lyft,LYFT,2014-12-14,Motivate,0,0.0
4410210,Lyft,Lyft,LYFT,2014-12-14,Lyft Scooters,0,0.0
4408357,Lyft,Lyft,LYFT,2014-12-14,Lyft Rides,37931,2685.0
4410211,Lyft,Lyft,LYFT,2014-12-15,Lyft Scooters,0,0.0
4408358,Lyft,Lyft,LYFT,2014-12-15,Lyft Rides,23333,1725.0
4412064,Lyft,Lyft,LYFT,2014-12-15,Motivate,0,0.0
4410212,Lyft,Lyft,LYFT,2014-12-16,Lyft Scooters,0,0.0
4408359,Lyft,Lyft,LYFT,2014-12-16,Lyft Rides,22148,1583.0
4412065,Lyft,Lyft,LYFT,2014-12-16,Motivate,0,0.0
4408360,Lyft,Lyft,LYFT,2014-12-17,Lyft Rides,23471,1761.0
4412066,Lyft,Lyft,LYFT,2014-12-17,Motivate,0,0.0
4410213,Lyft,Lyft,LYFT,2014-12-17,Lyft Scooters,0,0.0
4412067,Lyft,Lyft,LYFT,2014-12-18,Motivate,0,0.0
4410214,Lyft,Lyft,LYFT,2014-12-18,Lyft Scooters,0,0.0
4408361,Lyft,Lyft,LYFT,2014-12-18,Lyft Rides,28390,2110.0
4412068,Lyft,Lyft,LYFT,2014-12-19,Motivate,0,0.0
4410215,Lyft,Lyft,LYFT,2014-12-19,Lyft Scooters,0,0.0
4408362,Lyft,Lyft,LYFT,2014-12-19,Lyft Rides,36180,2684.0
4412069,Lyft,Lyft,LYFT,2014-12-20,Motivate,0,0.0
4410216,Lyft,Lyft,LYFT,2014-12-20,Lyft Scooters,0,0.0
4408363,Lyft,Lyft,LYFT,2014-12-20,Lyft Rides,43663,3207.0
4410217,Lyft,Lyft,LYFT,2014-12-21,Lyft Scooters,0,0.0
4408364,Lyft,Lyft,LYFT,2014-12-21,Lyft Rides,30990,2354.0
4412070,Lyft,Lyft,LYFT,2014-12-21,Motivate,0,0.0
4408365,Lyft,Lyft,LYFT,2014-12-22,Lyft Rides,20606,1511.0
4412071,Lyft,Lyft,LYFT,2014-12-22,Motivate,0,0.0
4410218,Lyft,Lyft,LYFT,2014-12-22,Lyft Scooters,0,0.0
4408366,Lyft,Lyft,LYFT,2014-12-23,Lyft Rides,19065,1390.0
4412072,Lyft,Lyft,LYFT,2014-12-23,Motivate,0,0.0
4410219,Lyft,Lyft,LYFT,2014-12-23,Lyft Scooters,0,0.0
4408367,Lyft,Lyft,LYFT,2014-12-24,Lyft Rides,18604,1294.0
4410220,Lyft,Lyft,LYFT,2014-12-24,Lyft Scooters,0,0.0
